Route_ID,From_City,From_State,To_City,To_State,Bus_Operator,Bus_Type,Distance_Miles,Distance_KM,Primary_Highway,Departure_Time,Arrival_Time,Duration_Hours,Ticket_Price_USD,Seats_Available,Total_Seats,Amenities,Booking_Type
102,Los Angeles,California,Phoenix,Arizona,Jefferson Lines Afternoon,Seater,427,687,I-75,13:00,20:00,7.8,98,45,45,"WiFi, AC, Snacks",Online/Station
103,Los Angeles,California,Phoenix,Arizona,Jefferson Lines Night,Sleeper,427,687,I-95,22:00,05:00,7.8,58,36,50,"AC, Restroom",Station
104,Los Angeles,California,Sacramento,California,Trailways Afternoon,Sleeper,384,617,US-66,16:00,23:00,7.0,91,21,45,"AC, Restroom",Online/Station
105,Los Angeles,California,Sacramento,California,RedCoach Night,Sleeper,384,617,I-90,20:00,03:00,7.0,32,17,45,"AC, Restroom",Station
106,San Francisco,California,Sacramento,California,Jefferson Lines Morning,Seater,84,135,I-5,06:00,07:00,1.5,16,6,40,AC,Online
107,San Francisco,California,Sacramento,California,FlixBus Afternoon,AC,84,135,I-75,14:00,15:00,1.5,18,0,55,"WiFi, AC, Restroom, Charging",Online
108,San Francisco,California,Sacramento,California,Megabus Morning,Sleeper,84,135,I-95,11:00,12:00,1.5,14,29,40,"WiFi, AC, Charging",Station
109,San Francisco,California,Las Vegas,Nevada,Megabus Morning,Sleeper,514,827,I-40,07:00,16:00,9.3,84,22,55,"WiFi, Charging",Online/Station
110,San Francisco,California,Las Vegas,Nevada,RedCoach Morning,Seater,514,827,I-25,09:00,18:00,9.3,117,50,55,"WiFi, AC, Snacks",Online
111,San Francisco,California,Las Vegas,Nevada,Greyhound Morning,Sleeper,514,827,US-1,06:00,15:00,9.3,82,12,50,"WiFi, AC, Restroom, Charging",Station
112,San Francisco,California,Portland,Oregon,BoltBus Night,Luxury,533,857,I-75,20:00,05:00,9.7,129,23,55,"WiFi, Charging",Online/Station
113,San Francisco,California,Portland,Oregon,Greyhound Morning,Luxury,533,857,US-1,11:00,20:00,9.7,80,23,55,"AC, Charging",Station
114,San Francisco,California,Portland,Oregon,RedCoach Morning,AC,533,857,I-40,08:00,17:00,9.7,48,15,55,"WiFi, AC",Station
115,San Francisco,California,Portland,Oregon,Greyhound Morning,AC,533,857,I-80,08:00,17:00,9.7,66,32,50,"WiFi, AC, Restroom, Charging",Station
116,San Francisco,California,Seattle,Washington,BoltBus Morning,Luxury,678,1090,I-40,09:00,21:00,12.3,115,13,45,"WiFi, AC, Snacks",Online
117,San Francisco,California,Seattle,Washington,FlixBus Evening,Luxury,678,1090,I-75,17:00,05:00,12.3,157,38,40,"WiFi, AC",Online
118,San Francisco,California,Seattle,Washington,Jefferson Lines Afternoon,Luxury,678,1090,I-25,12:00,00:00,12.3,122,6,50,"WiFi, Charging",Online/Station
119,Seattle,Washington,Portland,Oregon,Greyhound Morning,AC,146,234,I-95,06:00,08:00,2.7,29,28,40,"AC, Charging",Online
120,Seattle,Washington,Portland,Oregon,Trailways Afternoon,Seater,146,234,I-25,14:00,16:00,2.7,30,3,45,AC,Online/Station
121,Seattle,Washington,Portland,Oregon,BoltBus Morning,Sleeper,146,234,I-5,11:00,13:00,2.7,12,7,45,AC,Online/Station
122,Seattle,Washington,Portland,Oregon,Trailways Afternoon,Seater,146,234,I-80,14:00,16:00,2.7,22,36,40,"WiFi, AC, Restroom, Charging",Online
123,Seattle,Washington,Spokane,Washington,Greyhound Morning,Sleeper,338,543,I-75,07:00,13:00,6.1,60,25,45,AC,Station
124,Seattle,Washington,Spokane,Washington,Megabus Afternoon,AC,338,543,I-25,13:00,19:00,6.1,70,35,40,"WiFi, AC, Charging",Online/Station
125,Seattle,Washington,Spokane,Washington,Peter Pan Afternoon,Sleeper,338,543,I-80,15:00,21:00,6.1,55,18,55,AC,Station
126,Seattle,Washington,Spokane,Washington,Megabus Afternoon,Sleeper,338,543,US-66,12:00,18:00,6.1,56,1,40,"AC, Restroom",Online
127,Seattle,Washington,Denver,Colorado,Southeastern Stages Afternoon,AC,1313,2112,I-95,12:00,11:00,23.9,223,50,55,"WiFi, AC, Snacks",Station
128,Seattle,Washington,Denver,Colorado,Southeastern Stages Morning,Luxury,1313,2112,I-35,07:00,06:00,23.9,213,44,45,"WiFi, AC, Charging",Online/Station
129,Seattle,Washington,Tacoma,Washington,BoltBus Morning,Luxury,25,40,I-25,08:00,08:00,0.5,10,20,45,"AC, Restroom",Online/Station
130,Seattle,Washington,Tacoma,Washington,RedCoach Afternoon,Sleeper,25,40,I-95,13:00,13:00,0.5,10,0,40,"AC, Restroom",Station
131,Seattle,Washington,Tacoma,Washington,Greyhound Morning,Sleeper,25,40,I-35,11:00,11:00,0.5,10,35,50,AC,Online
132,Seattle,Washington,Tacoma,Washington,Jefferson Lines Morning,AC,25,40,I-70,07:00,07:00,0.5,10,44,55,"WiFi, AC, Charging",Station
133,Portland,Oregon,Salem,Oregon,Jefferson Lines Morning,Luxury,46,74,I-75,08:00,08:00,0.8,10,32,55,"WiFi, AC, Restroom, Charging",Online
134,Portland,Oregon,Salem,Oregon,Peter Pan Evening,Seater,46,74,I-70,19:00,19:00,0.8,11,38,55,"WiFi, AC",Online/Station
135,Portland,Oregon,Salem,Oregon,Greyhound Morning,Seater,46,74,I-80,06:00,06:00,0.8,10,14,50,"WiFi, AC",Online
136,Portland,Oregon,Salem,Oregon,Greyhound Afternoon,Seater,46,74,I-80,14:00,14:00,0.8,10,26,45,"AC, Charging",Online
137,Portland,Oregon,Eugene,Oregon,Megabus Evening,Seater,104,167,I-5,17:00,18:00,1.9,24,26,50,AC,Online/Station
138,Portland,Oregon,Eugene,Oregon,Jefferson Lines Morning,AC,104,167,I-35,06:00,07:00,1.9,24,47,55,"WiFi, AC",Online/Station
139,Portland,Oregon,Boise,Idaho,BoltBus Evening,Sleeper,465,748,I-95,17:00,01:00,8.5,115,28,50,"WiFi, AC, Restroom, Charging",Station
140,Portland,Oregon,Boise,Idaho,BoltBus Morning,Seater,465,748,I-75,11:00,19:00,8.5,97,2,55,"WiFi, Charging",Online/Station
141,Portland,Oregon,Boise,Idaho,Greyhound Afternoon,Seater,465,748,I-90,16:00,00:00,8.5,47,16,40,"WiFi, AC, Charging",Online/Station
142,Denver,Colorado,Colorado Springs,Colorado,Peter Pan Morning,AC,63,101,I-40,06:00,07:00,1.1,10,11,50,"AC, Charging",Online
143,Denver,Colorado,Colorado Springs,Colorado,BoltBus Afternoon,AC,63,101,I-70,13:00,14:00,1.1,11,47,50,AC,Station
144,Denver,Colorado,Colorado Springs,Colorado,Greyhound Afternoon,AC,63,101,I-35,15:00,16:00,1.1,10,1,40,"WiFi, AC, Snacks",Station
145,Denver,Colorado,Colorado Springs,Colorado,Jefferson Lines Evening,Luxury,63,101,I-70,19:00,20:00,1.1,10,32,55,"AC, Restroom",Online/Station
146,Denver,Colorado,Salt Lake City,Utah,Southeastern Stages Evening,Luxury,481,773,I-70,19:00,03:00,8.7,86,0,55,"WiFi, Charging",Online
147,Denver,Colorado,Salt Lake City,Utah,FlixBus Morning,Luxury,481,773,I-35,11:00,19:00,8.7,107,12,40,"WiFi, AC, Snacks",Station
148,Denver,Colorado,Albuquerque,New Mexico,BoltBus Evening,AC,340,547,I-90,18:00,00:00,6.2,73,30,40,"AC, Restroom",Online
149,Denver,Colorado,Albuquerque,New Mexico,BoltBus Morning,Seater,340,547,I-10,11:00,17:00,6.2,67,34,55,"WiFi, AC, Charging",Station
150,Denver,Colorado,Albuquerque,New Mexico,Megabus Afternoon,Luxury,340,547,I-25,13:00,19:00,6.2,44,25,40,"AC, Charging",Station
151,Denver,Colorado,Kansas City,Missouri,BoltBus Morning,AC,719,1156,I-35,11:00,00:00,13.1,60,36,55,"WiFi, AC, Restroom, Charging",Online
152,Denver,Colorado,Kansas City,Missouri,Megabus Morning,AC,719,1156,I-75,08:00,21:00,13.1,179,19,55,"WiFi, Charging",Online/Station
153,Denver,Colorado,Kansas City,Missouri,BoltBus Morning,AC,719,1156,US-1,11:00,00:00,13.1,69,7,40,"WiFi, AC, Charging",Station
154,Denver,Colorado,Kansas City,Missouri,Peter Pan Evening,AC,719,1156,US-66,19:00,08:00,13.1,169,8,50,"WiFi, AC, Snacks",Station
155,Denver,Colorado,Cheyenne,Wyoming,RedCoach Afternoon,Luxury,97,156,I-95,13:00,14:00,1.8,10,4,45,AC,Online/Station
156,Denver,Colorado,Cheyenne,Wyoming,RedCoach Afternoon,Seater,97,156,I-35,16:00,17:00,1.8,13,40,45,"WiFi, AC, Restroom, Charging",Online
157,Denver,Colorado,Cheyenne,Wyoming,FlixBus Evening,Luxury,97,156,I-25,19:00,20:00,1.8,14,29,50,"WiFi, AC",Online
158,Las Vegas,Nevada,Phoenix,Arizona,OurBus Morning,AC,282,453,US-66,09:00,14:00,5.1,35,22,50,"AC, Charging",Online
159,Las Vegas,Nevada,Phoenix,Arizona,RedCoach Afternoon,Seater,282,453,US-66,14:00,19:00,5.1,63,30,45,"WiFi, AC, Snacks",Station
160,Las Vegas,Nevada,Phoenix,Arizona,Peter Pan Morning,Sleeper,282,453,I-5,08:00,13:00,5.1,27,1,40,"WiFi, AC, Restroom, Charging",Station
161,Las Vegas,Nevada,Reno,Nevada,Jefferson Lines Morning,Seater,397,638,I-10,07:00,14:00,7.2,46,20,50,"WiFi, AC, Snacks",Online/Station
162,Las Vegas,Nevada,Reno,Nevada,RedCoach Morning,Luxury,397,638,I-25,11:00,18:00,7.2,86,29,45,"WiFi, Charging",Online/Station
163,Las Vegas,Nevada,Reno,Nevada,Jefferson Lines Morning,AC,397,638,I-90,09:00,16:00,7.2,61,41,55,"AC, Charging",Station
164,Las Vegas,Nevada,Reno,Nevada,Megabus Evening,Seater,397,638,I-5,17:00,00:00,7.2,81,42,45,"WiFi, Charging",Online
165,Las Vegas,Nevada,Salt Lake City,Utah,FlixBus Afternoon,Luxury,388,624,I-35,15:00,22:00,7.1,71,18,45,"AC, Charging",Station
166,Las Vegas,Nevada,Salt Lake City,Utah,Trailways Morning,Sleeper,388,624,US-1,09:00,16:00,7.1,63,28,55,"AC, Charging",Online/Station
167,Phoenix,Arizona,Tucson,Arizona,Jefferson Lines Evening,Seater,113,181,I-25,17:00,19:00,2.1,22,0,45,"WiFi, AC, Charging",Online/Station
168,Phoenix,Arizona,Tucson,Arizona,Megabus Evening,Luxury,113,181,I-40,19:00,21:00,2.1,18,10,40,"WiFi, AC, Restroom, Charging",Station
169,Phoenix,Arizona,Tucson,Arizona,Southeastern Stages Morning,AC,113,181,I-40,06:00,08:00,2.1,10,9,40,"AC, Charging",Online
170,Phoenix,Arizona,Tucson,Arizona,RedCoach Afternoon,Sleeper,113,181,I-40,14:00,16:00,2.1,14,1,55,"AC, Charging",Online
171,Phoenix,Arizona,Albuquerque,New Mexico,Jefferson Lines Afternoon,Sleeper,390,627,I-5,14:00,21:00,7.1,82,36,40,"WiFi, AC",Online/Station
172,Phoenix,Arizona,Albuquerque,New Mexico,RedCoach Evening,AC,390,627,I-70,18:00,01:00,7.1,77,0,50,"WiFi, AC, Charging",Online
173,Phoenix,Arizona,Albuquerque,New Mexico,OurBus Afternoon,Seater,390,627,I-80,12:00,19:00,7.1,62,10,40,"WiFi, AC, Restroom, Charging",Station
174,Phoenix,Arizona,El Paso,Texas,Peter Pan Afternoon,Seater,402,646,I-90,15:00,22:00,7.3,75,27,40,"WiFi, AC, Charging",Online/Station
175,Phoenix,Arizona,El Paso,Texas,Jefferson Lines Afternoon,Seater,402,646,I-10,14:00,21:00,7.3,53,8,55,"WiFi, AC, Snacks",Online
176,Phoenix,Arizona,El Paso,Texas,Megabus Afternoon,Sleeper,402,646,I-90,12:00,19:00,7.3,61,49,55,AC,Online/Station
177,Dallas,Texas,Houston,Texas,FlixBus Morning,Seater,230,370,I-10,06:00,10:00,4.2,39,32,50,"WiFi, AC, Restroom, Charging",Station
178,Dallas,Texas,Houston,Texas,Southeastern Stages Afternoon,Luxury,230,370,I-80,12:00,16:00,4.2,25,1,45,"WiFi, Charging",Station
